"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"ZEEMEDIA","Zee Media Corporation Limited","7(2)","Arm Infra & Utilities Private Limited","Promoters","Equity Shares","92880327","19.73",,"4821224","29888405","Pledge Invoke","Equity Shares","88059103","18.7","08-Jul-2020","10-Jul-2020","10-Jul-2020","Invocation of pledge","-","-","0","0","0","0","NA","-","13-Jul-2020 23:02","https://archives.nseindia.com/corporate/xbrl/IT_1075053_282419_13072020110238_WEB.xml"
"DISHTV","Dish TV India Limited","7(2)","Direct Media Distribution Ventures Pvt Ltd","Promoters","Equity Shares","249101023","13.53",,"10898000","88273800","Pledge Invoke","Equity Shares","238203023","12.94","09-Jul-2020","09-Jul-2020","13-Jul-2020","Invocation of pledge","-","-","0","0","0","0","NA","-","13-Jul-2020 22:45","https://archives.nseindia.com/corporate/xbrl/IT_1075051_282407_13072020104502_WEB.xml"
"DBCORP","D.B.Corp Limited","7(2)","DB Consolidated Private Limited","Promoter Group","Equity Shares","95723501","54.71",,"2800000","239680000","Pledge Revoke","Equity Shares","95723501","54.71","09-Jul-2020","09-Jul-2020","11-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","13-Jul-2020 18:27","https://archives.nseindia.com/corporate/xbrl/IT_1075049_281988_13072020062727_WEB.xml"
"ASAHIINDIA","Asahi India Glass Limited","7(2)","Tarun Radhakrishin Tahiliani","Promoters","Equity Shares","585448","0.24",,"4203","778312","Sell","Equity Shares","581245","0.23","26-Jun-2020","26-Jun-2020","10-Jul-2020","Market Sale","-","-","0","0","0","0","NSE","-","13-Jul-2020 17:16","https://archives.nseindia.com/corporate/xbrl/IT_1075047_281693_13072020051652_WEB.xml"
"PERSISTENT","Persistent Systems Limited","7(2)","Sandeep Kumar Kalra","Director","Equity Shares","5000","0",,"100000","1000000","Buy","Equity Shares","105000","0.14","08-Jul-2020","08-Jul-2020","09-Jul-2020","ESOP","-","-","0","0","0","0","NA","-","13-Jul-2020 17:08","https://archives.nseindia.com/corporate/xbrl/IT_1075045_281649_13072020050827_WEB.xml"
"KCP","KCP Limited","7(2)","V.L. INDIRA DUTT","Promoters","Equity Shares","9619981","7.46",,"5000","241096","Buy","Equity Shares","9624981","7.46","29-Jun-2020","29-Jun-2020","09-Jul-2020","Market Purchase","-","-","0","0","0","0","BSE","-","13-Jul-2020 14:18","https://archives.nseindia.com/corporate/xbrl/IT_1075041_280797_13072020021817_WEB.xml"
"KCP","KCP Limited","7(2)","V.L. INDIRA DUTT","Promoters","Equity Shares","3594412","2.78",,"6025569","0","Buy","Equity Shares","9619981","7.46","10-Jun-2020","10-Jun-2020","09-Jul-2020","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","13-Jul-2020 14:18","https://archives.nseindia.com/corporate/xbrl/IT_1075041_280797_13072020021817_WEB.xml"
"KCP","KCP Limited","7(2)","SUBBARAO VALLABHANENI","Promoter Group","Equity Shares","75930","0.06",,"25200","1249729","Buy","Equity Shares","101130","0.08","24-Jun-2020","30-Jun-2020","09-Jul-2020","Market Purchase","-","-","0","0","0","0","BSE","-","13-Jul-2020 14:18","https://archives.nseindia.com/corporate/xbrl/IT_1075041_280797_13072020021817_WEB.xml"
"KMSUGAR","K.M.Sugar Mills Limited","7(2)","MARVEL BUSINESS PRIVATE LIMITED","Promoter Group","Equity Shares","12174035","13.23",,"70218","613705","Buy","Equity Shares","12244253","13.3","18-Jun-2020","20-Jun-2020","30-Jun-2020","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","13-Jul-2020 13:41","https://archives.nseindia.com/corporate/xbrl/IT_1075039_280712_13072020014123_WEB.xml"
"KMSUGAR","K.M.Sugar Mills Limited","7(2)","Mrs. Uma Devi Jhunjhunwala","Promoters","Equity Shares","2552446","2.77",,"10271","89871","Buy","Equity Shares","2562717","2.78","01-Apr-2020","03-Apr-2020","30-Jun-2020","Others","-","-","0","0","0","0","BSE,NSE","-","13-Jul-2020 12:46","https://archives.nseindia.com/corporate/xbrl/IT_1075037_280564_13072020124656_WEB.xml"
"TITAN","Titan Company Limited","7(2)","Ajoy Chawla","Employees/Designated Employees","Equity Shares","4720","0",,"400","826","Buy","Equity Shares","5120","0","19-Sep-2018","19-Sep-2018","11-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jul-2020 11:06","https://archives.nseindia.com/corporate/xbrl/IT_1075035_280277_13072020110635_WEB.xml"
"TITAN","Titan Company Limited","7(2)","Ajoy Chawla","Employees/Designated Employees","Equity Shares","5120","0",,"500","819","Buy","Equity Shares","5620","0","21-Sep-2018","21-Sep-2018","11-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jul-2020 11:06","https://archives.nseindia.com/corporate/xbrl/IT_1075035_280277_13072020110635_WEB.xml"
"TITAN","Titan Company Limited","7(2)","Ajoy Chawla","Employees/Designated Employees","Equity Shares","5620","0",,"200","785","Buy","Equity Shares","5820","0","24-Sep-2018","24-Sep-2018","11-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jul-2020 11:06","https://archives.nseindia.com/corporate/xbrl/IT_1075035_280277_13072020110635_WEB.xml"
