"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Techno Projects Management Limited","Promoter Group","Equity Shares","264454220","10.94",,"970000","185221500","Pledge Revoke","Equity Shares","264454220","10.94","06-Jul-2020","06-Jul-2020","08-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","09-Jul-2020 17:49","https://archives.nseindia.com/corporate/xbrl/IT_1074994_277462_09072020054906_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Techno Projects Management Limited","Promoter Group","Equity Shares","264454220","10.94",,"1690000","222082000","Pledge Revoke","Equity Shares","264454220","10.94","02-Jul-2020","02-Jul-2020","06-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jul-2020 09:19","https://archives.nseindia.com/corporate/xbrl/IT_1074964_275591_08072020091931_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Sahyog Holdings Private Limited","Promoter Group","Equity Shares","112067860","4.64",,"6050000","1176422500","Pledge Revoke","Equity Shares","112067860","4.64","02-Jul-2020","02-Jul-2020","06-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jul-2020 09:19","https://archives.nseindia.com/corporate/xbrl/IT_1074964_275591_08072020091931_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Vividh Finvest Private Limited (Formerly Vividh Consultancy & Advisory Services Private Limited)","Promoter Group","Equity Shares","143370690","5.93",,"1910000","371399500","Pledge Revoke","Equity Shares","143370690","5.93","02-Jul-2020","02-Jul-2020","06-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jul-2020 09:19","https://archives.nseindia.com/corporate/xbrl/IT_1074964_275591_08072020091931_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Mr. Paramjit Guron","Employees/Designated Employees","Equity Shares","Nil","0",,"26010","4783499","Buy","Equity Shares","26010","0","20-Apr-2020","20-Apr-2020","07-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","08-Jul-2020 09:19","https://archives.nseindia.com/corporate/xbrl/IT_1074964_275591_08072020091931_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Glebe Trading Private Limited","Promoter Group","Equity Shares","17157930","0.71",,"81500","15851750","Pledge Revoke","Equity Shares","17157930","0.71","02-Jul-2020","02-Jul-2020","06-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","08-Jul-2020 09:19","https://archives.nseindia.com/corporate/xbrl/IT_1074964_275591_08072020091931_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Techno Projects Management Limited","Promoter Group","Equity Shares","264454220","10.94",,"1690000","323550500","Pledge Revoke","Equity Shares","264454220","10.94","01-Jul-2020","01-Jul-2020","03-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Jul-2020 19:50","https://archives.nseindia.com/corporate/xbrl/IT_1074906_274151_04072020075009_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Danta Enterprises Private Limited","Promoter Group","Equity Shares","60368250","2.5",,"650000","123240000","Pledge","Equity Shares","60368250","2.5","30-Jun-2020","30-Jun-2020","02-Jul-2020","Pledge Creation","-","-","0","0","0","0","NA","-","04-Jul-2020 19:50","https://archives.nseindia.com/corporate/xbrl/IT_1074906_274151_04072020075009_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Danta Enterprises Private Limited","Promoter Group","Equity Shares","60368250","2.5",,"1202500","227994000","Pledge Revoke","Equity Shares","60368250","2.5","30-Jun-2020","30-Jun-2020","02-Jul-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","04-Jul-2020 19:50","https://archives.nseindia.com/corporate/xbrl/IT_1074906_274151_04072020075009_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","Mrs. URMILA BHUWALKA","Promoter Group","Equity Shares","302270","0.01",,"2730","514531","Buy","Equity Shares","305000","0.01","29-Jun-2020","29-Jun-2020","04-Jul-2020","Market Purchase","-","-","0","0","0","0","NSE","-","04-Jul-2020 19:50","https://archives.nseindia.com/corporate/xbrl/IT_1074906_274151_04072020075009_WEB.xml"
