"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"RELIANCE","Reliance Industries Limited","7(2)","P.M.S. PRASAD","Director","Equity Shares","640000","0.01",,"600000","1033890000","Pledge","Equity Shares","40000","0","29-Jun-2020","29-Jun-2020","01-Jul-2020","Pledge Creation","-","-","0","0","0","0","NA","-","03-Jul-2020 21:21","https://archives.nseindia.com/corporate/xbrl/IT_1074885_273941_03072020092157_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","11600","0",,"300","521970","Sell","Equity Shares","11300","0","30-Jun-2020","30-Jun-2020","30-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","Nil","0",,"800","251400","Buy","Equity Shares","800","0","11-Jun-2020","11-Jun-2020","16-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","12000","0",,"200","346790","Sell","Equity Shares","11800","0","26-Jun-2020","26-Jun-2020","26-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","J Rajaraman","Other","Equity Shares","11800","0",,"200","344650","Sell","Equity Shares","11600","0","29-Jun-2020","29-Jun-2020","29-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","01-Jul-2020 19:08","https://archives.nseindia.com/corporate/xbrl/IT_1074696_273204_01072020070855_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","B B Sethi","Other","Equity Shares","10600","0",,"1000","1740800","Pledge","Equity Shares","10600","0","23-Jun-2020","23-Jun-2020","25-Jun-2020","Market Sale","-","-","0","0","0","0","NSE","-","25-Jun-2020 22:40","https://archives.nseindia.com/corporate/xbrl/IT_1074289_269003_25062020104045_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","B B Sethi","Other","Equity Shares","Nil","0",,"600","188550","Buy","Equity Shares","600","0","11-Jun-2020","11-Jun-2020","16-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","25-Jun-2020 22:40","https://archives.nseindia.com/corporate/xbrl/IT_1074289_269003_25062020104045_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","ALOK AGARWAL","Key Managerial Personnel","Equity Shares","1050403","0.02",,"225000","395865000","Pledge","Equity Shares","825403","0.01","19-Jun-2020","19-Jun-2020","23-Jun-2020","Pledge Creation","-","-","0","0","0","0","NA","-","25-Jun-2020 22:40","https://archives.nseindia.com/corporate/xbrl/IT_1074289_269003_25062020104045_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","ALOK AGARWAL","Key Managerial Personnel","Equity Shares","1050403","0.02",,"940000","1653836000","Pledge Revoke","Equity Shares","1050403","0.02","19-Jun-2020","19-Jun-2020","23-Jun-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","25-Jun-2020 22:40","https://archives.nseindia.com/corporate/xbrl/IT_1074289_269003_25062020104045_WEB.xml"
"RELIANCE","Reliance Industries Limited","7(2)","B B Sethi","Other","Equity Shares","Nil","0",,"106","33311","Buy","Equity Shares","106","0","11-Jun-2020","11-Jun-2020","16-Jun-2020","Public Right","-","-","0","0","0","0","NA","-","25-Jun-2020 22:40","https://archives.nseindia.com/corporate/xbrl/IT_1074289_269003_25062020104045_WEB.xml"
